,score,features_number,model
0,0.0,1,pmelif
1,0.0,1,melif
2,0.0,2,pmelif
3,0.0,2,melif
4,0.0,3,pmelif
5,0.0,3,melif
6,0.0,4,pmelif
7,0.0,4,melif
8,0.0,5,pmelif
9,0.0,5,melif
10,0.0,6,pmelif
11,0.0,6,melif
12,0.0,7,pmelif
13,0.0,7,melif
14,0.0,8,pmelif
15,0.0,8,melif
16,0.0,9,pmelif
17,0.0,9,melif
18,0.0,10,pmelif
19,0.0,10,melif
20,0.0,1,pmelif
21,0.0,1,melif
22,0.0,2,pmelif
23,0.0,2,melif
24,0.0,3,pmelif
25,0.0,3,melif
26,0.0,4,pmelif
27,0.0,4,melif
28,0.0,5,pmelif
29,0.0,5,melif
30,0.0,6,pmelif
31,0.0,6,melif
32,0.0,7,pmelif
33,0.0,7,melif
34,0.0,8,pmelif
35,0.0,8,melif
36,0.0,9,pmelif
37,0.0,9,melif
38,0.0,10,pmelif
39,0.0,10,melif
40,0.0,1,pmelif
41,0.0,1,melif
42,0.0,2,pmelif
43,0.0,2,melif
44,0.0,3,pmelif
45,0.0,3,melif
46,0.0,4,pmelif
47,0.0,4,melif
48,0.0,5,pmelif
49,0.0,5,melif
50,0.0,6,pmelif
51,0.0,6,melif
52,0.0,7,pmelif
53,0.0,7,melif
54,0.0,8,pmelif
55,0.0,8,melif
56,0.0,9,pmelif
57,0.0,9,melif
58,0.0,10,pmelif
59,0.0,10,melif
60,0.0,1,pmelif
61,0.0,1,melif
62,0.0,2,pmelif
63,0.0,2,melif
64,0.0,3,pmelif
65,0.0,3,melif
66,0.0,4,pmelif
67,0.0,4,melif
68,0.0,5,pmelif
69,0.0,5,melif
70,0.0,6,pmelif
71,0.0,6,melif
72,0.0,7,pmelif
73,0.0,7,melif
74,0.0,8,pmelif
75,0.0,8,melif
76,0.0,9,pmelif
77,0.0,9,melif
78,0.0,10,pmelif
79,0.0,10,melif
80,0.0,1,pmelif
81,0.0,1,melif
82,0.1,2,pmelif
83,0.1,2,melif
84,0.1,3,pmelif
85,0.1,3,melif
86,0.1,4,pmelif
87,0.1,4,melif
88,0.1,5,pmelif
89,0.1,5,melif
90,0.1,6,pmelif
91,0.1,6,melif
92,0.1,7,pmelif
93,0.1,7,melif
94,0.1,8,pmelif
95,0.1,8,melif
96,0.1,9,pmelif
97,0.1,9,melif
98,0.1,10,pmelif
99,0.1,10,melif
100,0.0,1,pmelif
101,0.0,1,melif
102,0.0,2,pmelif
103,0.0,2,melif
104,0.1,3,pmelif
105,0.1,3,melif
106,0.1,4,pmelif
107,0.1,4,melif
108,0.1,5,pmelif
109,0.1,5,melif
110,0.1,6,pmelif
111,0.1,6,melif
112,0.1,7,pmelif
113,0.1,7,melif
114,0.1,8,pmelif
115,0.1,8,melif
116,0.1,9,pmelif
117,0.1,9,melif
118,0.1,10,pmelif
119,0.1,10,melif
120,0.0,1,pmelif
121,0.0,1,melif
122,0.0,2,pmelif
123,0.0,2,melif
124,0.0,3,pmelif
125,0.0,3,melif
126,0.0,4,pmelif
127,0.0,4,melif
128,0.0,5,pmelif
129,0.0,5,melif
130,0.0,6,pmelif
131,0.0,6,melif
132,0.0,7,pmelif
133,0.0,7,melif
134,0.0,8,pmelif
135,0.0,8,melif
136,0.0,9,pmelif
137,0.0,9,melif
138,0.0,10,pmelif
139,0.0,10,melif
140,0.0,1,pmelif
141,0.0,1,melif
142,0.0,2,pmelif
143,0.0,2,melif
144,0.0,3,pmelif
145,0.0,3,melif
146,0.0,4,pmelif
147,0.0,4,melif
148,0.0,5,pmelif
149,0.0,5,melif
150,0.0,6,pmelif
151,0.0,6,melif
152,0.0,7,pmelif
153,0.0,7,melif
154,0.0,8,pmelif
155,0.0,8,melif
156,0.0,9,pmelif
157,0.0,9,melif
158,0.0,10,pmelif
159,0.0,10,melif
160,0.0,1,pmelif
161,0.0,1,melif
162,0.0,2,pmelif
163,0.0,2,melif
164,0.0,3,pmelif
165,0.0,3,melif
166,0.0,4,pmelif
167,0.0,4,melif
168,0.0,5,pmelif
169,0.0,5,melif
170,0.1,6,pmelif
171,0.1,6,melif
172,0.1,7,pmelif
173,0.1,7,melif
174,0.1,8,pmelif
175,0.1,8,melif
176,0.1,9,pmelif
177,0.1,9,melif
178,0.1,10,pmelif
179,0.1,10,melif
180,0.0,1,pmelif
181,0.0,1,melif
182,0.0,2,pmelif
183,0.0,2,melif
184,0.0,3,pmelif
185,0.0,3,melif
186,0.0,4,pmelif
187,0.0,4,melif
188,0.0,5,pmelif
189,0.0,5,melif
190,0.0,6,pmelif
191,0.0,6,melif
192,0.0,7,pmelif
193,0.0,7,melif
194,0.0,8,pmelif
195,0.0,8,melif
196,0.0,9,pmelif
197,0.0,9,melif
198,0.0,10,pmelif
199,0.0,10,melif
200,0.0,1,pmelif
201,0.0,1,melif
202,0.0,2,pmelif
203,0.0,2,melif
204,0.0,3,pmelif
205,0.0,3,melif
206,0.0,4,pmelif
207,0.0,4,melif
208,0.0,5,pmelif
209,0.0,5,melif
210,0.0,6,pmelif
211,0.0,6,melif
212,0.0,7,pmelif
213,0.0,7,melif
214,0.0,8,pmelif
215,0.0,8,melif
216,0.0,9,pmelif
217,0.0,9,melif
218,0.0,10,pmelif
219,0.0,10,melif
220,0.0,1,pmelif
221,0.0,1,melif
222,0.0,2,pmelif
223,0.0,2,melif
224,0.0,3,pmelif
225,0.0,3,melif
226,0.0,4,pmelif
227,0.0,4,melif
228,0.0,5,pmelif
229,0.0,5,melif
230,0.0,6,pmelif
231,0.0,6,melif
232,0.0,7,pmelif
233,0.0,7,melif
234,0.0,8,pmelif
235,0.0,8,melif
236,0.0,9,pmelif
237,0.0,9,melif
238,0.0,10,pmelif
239,0.0,10,melif
240,0.0,1,pmelif
241,0.0,1,melif
242,0.0,2,pmelif
243,0.0,2,melif
244,0.0,3,pmelif
245,0.0,3,melif
246,0.0,4,pmelif
247,0.0,4,melif
248,0.0,5,pmelif
249,0.0,5,melif
250,0.0,6,pmelif
251,0.0,6,melif
252,0.0,7,pmelif
253,0.0,7,melif
254,0.0,8,pmelif
255,0.0,8,melif
256,0.0,9,pmelif
257,0.0,9,melif
258,0.0,10,pmelif
259,0.0,10,melif
260,0.0,1,pmelif
261,0.0,1,melif
262,0.0,2,pmelif
263,0.0,2,melif
264,0.0,3,pmelif
265,0.0,3,melif
266,0.0,4,pmelif
267,0.0,4,melif
268,0.0,5,pmelif
269,0.0,5,melif
270,0.0,6,pmelif
271,0.0,6,melif
272,0.0,7,pmelif
273,0.0,7,melif
274,0.0,8,pmelif
275,0.0,8,melif
276,0.0,9,pmelif
277,0.0,9,melif
278,0.0,10,pmelif
279,0.0,10,melif
280,0.0,1,pmelif
281,0.0,1,melif
282,0.0,2,pmelif
283,0.0,2,melif
284,0.0,3,pmelif
285,0.0,3,melif
286,0.0,4,pmelif
287,0.0,4,melif
288,0.0,5,pmelif
289,0.0,5,melif
290,0.0,6,pmelif
291,0.0,6,melif
292,0.0,7,pmelif
293,0.0,7,melif
294,0.0,8,pmelif
295,0.0,8,melif
296,0.0,9,pmelif
297,0.0,9,melif
298,0.0,10,pmelif
299,0.0,10,melif
300,0.0,1,pmelif
301,0.0,1,melif
302,0.0,2,pmelif
303,0.0,2,melif
304,0.0,3,pmelif
305,0.0,3,melif
306,0.0,4,pmelif
307,0.0,4,melif
308,0.0,5,pmelif
309,0.0,5,melif
310,0.1,6,pmelif
311,0.1,6,melif
312,0.1,7,pmelif
313,0.1,7,melif
314,0.1,8,pmelif
315,0.1,8,melif
316,0.1,9,pmelif
317,0.1,9,melif
318,0.1,10,pmelif
319,0.1,10,melif
320,0.0,1,pmelif
321,0.0,1,melif
322,0.0,2,pmelif
323,0.0,2,melif
324,0.1,3,pmelif
325,0.1,3,melif
326,0.1,4,pmelif
327,0.1,4,melif
328,0.1,5,pmelif
329,0.1,5,melif
330,0.1,6,pmelif
331,0.1,6,melif
332,0.1,7,pmelif
333,0.1,7,melif
334,0.1,8,pmelif
335,0.1,8,melif
336,0.1,9,pmelif
337,0.1,9,melif
338,0.1,10,pmelif
339,0.1,10,melif
340,0.0,1,pmelif
341,0.0,1,melif
342,0.0,2,pmelif
343,0.0,2,melif
344,0.0,3,pmelif
345,0.0,3,melif
346,0.0,4,pmelif
347,0.0,4,melif
348,0.0,5,pmelif
349,0.0,5,melif
350,0.0,6,pmelif
351,0.0,6,melif
352,0.0,7,pmelif
353,0.0,7,melif
354,0.0,8,pmelif
355,0.0,8,melif
356,0.0,9,pmelif
357,0.0,9,melif
358,0.0,10,pmelif
359,0.0,10,melif
360,0.0,1,pmelif
361,0.0,1,melif
362,0.0,2,pmelif
363,0.0,2,melif
364,0.0,3,pmelif
365,0.0,3,melif
366,0.0,4,pmelif
367,0.0,4,melif
368,0.0,5,pmelif
369,0.0,5,melif
370,0.0,6,pmelif
371,0.0,6,melif
372,0.0,7,pmelif
373,0.0,7,melif
374,0.0,8,pmelif
375,0.0,8,melif
376,0.0,9,pmelif
377,0.0,9,melif
378,0.0,10,pmelif
379,0.0,10,melif
380,0.0,1,pmelif
381,0.0,1,melif
382,0.0,2,pmelif
383,0.0,2,melif
384,0.0,3,pmelif
385,0.0,3,melif
386,0.0,4,pmelif
387,0.0,4,melif
388,0.0,5,pmelif
389,0.0,5,melif
390,0.0,6,pmelif
391,0.0,6,melif
392,0.0,7,pmelif
393,0.0,7,melif
394,0.0,8,pmelif
395,0.0,8,melif
396,0.0,9,pmelif
397,0.0,9,melif
398,0.0,10,pmelif
399,0.0,10,melif
400,0.0,1,pmelif
401,0.0,1,melif
402,0.0,2,pmelif
403,0.0,2,melif
404,0.0,3,pmelif
405,0.0,3,melif
406,0.0,4,pmelif
407,0.0,4,melif
408,0.0,5,pmelif
409,0.0,5,melif
410,0.0,6,pmelif
411,0.0,6,melif
412,0.0,7,pmelif
413,0.0,7,melif
414,0.0,8,pmelif
415,0.0,8,melif
416,0.0,9,pmelif
417,0.0,9,melif
418,0.0,10,pmelif
419,0.0,10,melif
420,0.0,1,pmelif
421,0.0,1,melif
422,0.0,2,pmelif
423,0.0,2,melif
424,0.0,3,pmelif
425,0.0,3,melif
426,0.0,4,pmelif
427,0.0,4,melif
428,0.0,5,pmelif
429,0.0,5,melif
430,0.0,6,pmelif
431,0.0,6,melif
432,0.0,7,pmelif
433,0.0,7,melif
434,0.0,8,pmelif
435,0.0,8,melif
436,0.0,9,pmelif
437,0.0,9,melif
438,0.0,10,pmelif
439,0.0,10,melif
440,0.0,1,pmelif
441,0.0,1,melif
442,0.0,2,pmelif
443,0.0,2,melif
444,0.0,3,pmelif
445,0.0,3,melif
446,0.0,4,pmelif
447,0.0,4,melif
448,0.0,5,pmelif
449,0.0,5,melif
450,0.1,6,pmelif
451,0.1,6,melif
452,0.1,7,pmelif
453,0.1,7,melif
454,0.1,8,pmelif
455,0.1,8,melif
456,0.1,9,pmelif
457,0.1,9,melif
458,0.1,10,pmelif
459,0.1,10,melif
460,0.1,1,pmelif
461,0.1,1,melif
462,0.1,2,pmelif
463,0.1,2,melif
464,0.1,3,pmelif
465,0.1,3,melif
466,0.1,4,pmelif
467,0.1,4,melif
468,0.1,5,pmelif
469,0.1,5,melif
470,0.1,6,pmelif
471,0.1,6,melif
472,0.1,7,pmelif
473,0.1,7,melif
474,0.1,8,pmelif
475,0.1,8,melif
476,0.1,9,pmelif
477,0.1,9,melif
478,0.1,10,pmelif
479,0.1,10,melif
480,0.0,1,pmelif
481,0.0,1,melif
482,0.0,2,pmelif
483,0.0,2,melif
484,0.0,3,pmelif
485,0.0,3,melif
486,0.0,4,pmelif
487,0.0,4,melif
488,0.0,5,pmelif
489,0.0,5,melif
490,0.0,6,pmelif
491,0.0,6,melif
492,0.0,7,pmelif
493,0.0,7,melif
494,0.0,8,pmelif
495,0.0,8,melif
496,0.0,9,pmelif
497,0.0,9,melif
498,0.0,10,pmelif
499,0.0,10,melif
500,0.0,1,pmelif
501,0.0,1,melif
502,0.0,2,pmelif
503,0.0,2,melif
504,0.0,3,pmelif
505,0.0,3,melif
506,0.0,4,pmelif
507,0.0,4,melif
508,0.0,5,pmelif
509,0.0,5,melif
510,0.0,6,pmelif
511,0.0,6,melif
512,0.0,7,pmelif
513,0.0,7,melif
514,0.0,8,pmelif
515,0.0,8,melif
516,0.0,9,pmelif
517,0.0,9,melif
518,0.0,10,pmelif
519,0.0,10,melif
520,0.0,1,pmelif
521,0.0,1,melif
522,0.0,2,pmelif
523,0.0,2,melif
524,0.0,3,pmelif
525,0.0,3,melif
526,0.0,4,pmelif
527,0.0,4,melif
528,0.0,5,pmelif
529,0.0,5,melif
530,0.0,6,pmelif
531,0.0,6,melif
532,0.0,7,pmelif
533,0.0,7,melif
534,0.0,8,pmelif
535,0.0,8,melif
536,0.0,9,pmelif
537,0.0,9,melif
538,0.0,10,pmelif
539,0.0,10,melif
540,0.0,1,pmelif
541,0.0,1,melif
542,0.0,2,pmelif
543,0.0,2,melif
544,0.0,3,pmelif
545,0.0,3,melif
546,0.0,4,pmelif
547,0.0,4,melif
548,0.0,5,pmelif
549,0.0,5,melif
550,0.0,6,pmelif
551,0.0,6,melif
552,0.0,7,pmelif
553,0.0,7,melif
554,0.0,8,pmelif
555,0.0,8,melif
556,0.0,9,pmelif
557,0.0,9,melif
558,0.1,10,pmelif
559,0.1,10,melif
560,0.0,1,pmelif
561,0.0,1,melif
562,0.0,2,pmelif
563,0.0,2,melif
564,0.0,3,pmelif
565,0.0,3,melif
566,0.0,4,pmelif
567,0.0,4,melif
568,0.0,5,pmelif
569,0.0,5,melif
570,0.0,6,pmelif
571,0.0,6,melif
572,0.0,7,pmelif
573,0.0,7,melif
574,0.0,8,pmelif
575,0.0,8,melif
576,0.0,9,pmelif
577,0.0,9,melif
578,0.0,10,pmelif
579,0.0,10,melif
580,0.0,1,pmelif
581,0.0,1,melif
582,0.0,2,pmelif
583,0.0,2,melif
584,0.1,3,pmelif
585,0.1,3,melif
586,0.1,4,pmelif
587,0.1,4,melif
588,0.1,5,pmelif
589,0.1,5,melif
590,0.1,6,pmelif
591,0.1,6,melif
592,0.1,7,pmelif
593,0.1,7,melif
594,0.1,8,pmelif
595,0.1,8,melif
596,0.1,9,pmelif
597,0.1,9,melif
598,0.1,10,pmelif
599,0.1,10,melif
600,0.0,1,pmelif
601,0.0,1,melif
602,0.0,2,pmelif
603,0.0,2,melif
604,0.0,3,pmelif
605,0.0,3,melif
606,0.0,4,pmelif
607,0.0,4,melif
608,0.1,5,pmelif
609,0.1,5,melif
610,0.1,6,pmelif
611,0.1,6,melif
612,0.1,7,pmelif
613,0.1,7,melif
614,0.1,8,pmelif
615,0.1,8,melif
616,0.1,9,pmelif
617,0.1,9,melif
618,0.1,10,pmelif
619,0.1,10,melif
620,0.0,1,pmelif
621,0.0,1,melif
622,0.0,2,pmelif
623,0.0,2,melif
624,0.0,3,pmelif
625,0.0,3,melif
626,0.0,4,pmelif
627,0.0,4,melif
628,0.0,5,pmelif
629,0.0,5,melif
630,0.0,6,pmelif
631,0.0,6,melif
632,0.0,7,pmelif
633,0.0,7,melif
634,0.0,8,pmelif
635,0.0,8,melif
636,0.0,9,pmelif
637,0.0,9,melif
638,0.0,10,pmelif
639,0.0,10,melif
640,0.0,1,pmelif
641,0.0,1,melif
642,0.0,2,pmelif
643,0.0,2,melif
644,0.0,3,pmelif
645,0.0,3,melif
646,0.1,4,pmelif
647,0.1,4,melif
648,0.1,5,pmelif
649,0.1,5,melif
650,0.1,6,pmelif
651,0.1,6,melif
652,0.1,7,pmelif
653,0.1,7,melif
654,0.1,8,pmelif
655,0.1,8,melif
656,0.1,9,pmelif
657,0.1,9,melif
658,0.1,10,pmelif
659,0.1,10,melif
660,0.0,1,pmelif
661,0.0,1,melif
662,0.0,2,pmelif
663,0.0,2,melif
664,0.1,3,pmelif
665,0.1,3,melif
666,0.1,4,pmelif
667,0.1,4,melif
668,0.1,5,pmelif
669,0.1,5,melif
670,0.1,6,pmelif
671,0.1,6,melif
672,0.1,7,pmelif
673,0.1,7,melif
674,0.1,8,pmelif
675,0.1,8,melif
676,0.1,9,pmelif
677,0.1,9,melif
678,0.2,10,pmelif
679,0.2,10,melif
680,0.0,1,pmelif
681,0.0,1,melif
682,0.0,2,pmelif
683,0.0,2,melif
684,0.0,3,pmelif
685,0.0,3,melif
686,0.0,4,pmelif
687,0.0,4,melif
688,0.0,5,pmelif
689,0.0,5,melif
690,0.0,6,pmelif
691,0.0,6,melif
692,0.0,7,pmelif
693,0.0,7,melif
694,0.0,8,pmelif
695,0.0,8,melif
696,0.0,9,pmelif
697,0.0,9,melif
698,0.0,10,pmelif
699,0.0,10,melif
700,0.0,1,pmelif
701,0.0,1,melif
702,0.0,2,pmelif
703,0.0,2,melif
704,0.0,3,pmelif
705,0.0,3,melif
706,0.0,4,pmelif
707,0.0,4,melif
708,0.0,5,pmelif
709,0.0,5,melif
710,0.0,6,pmelif
711,0.0,6,melif
712,0.0,7,pmelif
713,0.0,7,melif
714,0.0,8,pmelif
715,0.0,8,melif
716,0.0,9,pmelif
717,0.0,9,melif
718,0.0,10,pmelif
719,0.0,10,melif
720,0.0,1,pmelif
721,0.0,1,melif
722,0.0,2,pmelif
723,0.0,2,melif
724,0.0,3,pmelif
725,0.0,3,melif
726,0.0,4,pmelif
727,0.0,4,melif
728,0.1,5,pmelif
729,0.1,5,melif
730,0.1,6,pmelif
731,0.1,6,melif
732,0.1,7,pmelif
733,0.1,7,melif
734,0.1,8,pmelif
735,0.1,8,melif
736,0.1,9,pmelif
737,0.1,9,melif
738,0.1,10,pmelif
739,0.1,10,melif
740,0.0,1,pmelif
741,0.0,1,melif
742,0.0,2,pmelif
743,0.0,2,melif
744,0.0,3,pmelif
745,0.0,3,melif
746,0.0,4,pmelif
747,0.0,4,melif
748,0.0,5,pmelif
749,0.0,5,melif
750,0.0,6,pmelif
751,0.0,6,melif
752,0.0,7,pmelif
753,0.0,7,melif
754,0.0,8,pmelif
755,0.0,8,melif
756,0.0,9,pmelif
757,0.0,9,melif
758,0.0,10,pmelif
759,0.0,10,melif
760,0.0,1,pmelif
761,0.0,1,melif
762,0.0,2,pmelif
763,0.0,2,melif
764,0.1,3,pmelif
765,0.1,3,melif
766,0.1,4,pmelif
767,0.1,4,melif
768,0.1,5,pmelif
769,0.1,5,melif
770,0.1,6,pmelif
771,0.2,6,melif
772,0.1,7,pmelif
773,0.2,7,melif
774,0.1,8,pmelif
775,0.3,8,melif
776,0.1,9,pmelif
777,0.3,9,melif
778,0.2,10,pmelif
779,0.1,10,melif
780,0.0,1,pmelif
781,0.0,1,melif
782,0.0,2,pmelif
783,0.0,2,melif
784,0.0,3,pmelif
785,0.0,3,melif
786,0.0,4,pmelif
787,0.0,4,melif
788,0.0,5,pmelif
789,0.0,5,melif
790,0.0,6,pmelif
791,0.0,6,melif
792,0.0,7,pmelif
793,0.0,7,melif
794,0.0,8,pmelif
795,0.0,8,melif
796,0.0,9,pmelif
797,0.0,9,melif
798,0.0,10,pmelif
799,0.0,10,melif
800,0.0,1,pmelif
801,0.0,1,melif
802,0.0,2,pmelif
803,0.0,2,melif
804,0.0,3,pmelif
805,0.0,3,melif
806,0.0,4,pmelif
807,0.0,4,melif
808,0.0,5,pmelif
809,0.0,5,melif
810,0.0,6,pmelif
811,0.0,6,melif
812,0.0,7,pmelif
813,0.0,7,melif
814,0.0,8,pmelif
815,0.0,8,melif
816,0.0,9,pmelif
817,0.0,9,melif
818,0.0,10,pmelif
819,0.0,10,melif
820,0.0,1,pmelif
821,0.0,1,melif
822,0.0,2,pmelif
823,0.0,2,melif
824,0.0,3,pmelif
825,0.0,3,melif
826,0.0,4,pmelif
827,0.0,4,melif
828,0.0,5,pmelif
829,0.0,5,melif
830,0.0,6,pmelif
831,0.0,6,melif
832,0.0,7,pmelif
833,0.0,7,melif
834,0.0,8,pmelif
835,0.0,8,melif
836,0.0,9,pmelif
837,0.0,9,melif
838,0.0,10,pmelif
839,0.0,10,melif
840,0.0,1,pmelif
841,0.0,1,melif
842,0.0,2,pmelif
843,0.0,2,melif
844,0.0,3,pmelif
845,0.0,3,melif
846,0.0,4,pmelif
847,0.0,4,melif
848,0.0,5,pmelif
849,0.0,5,melif
850,0.0,6,pmelif
851,0.0,6,melif
852,0.0,7,pmelif
853,0.0,7,melif
854,0.0,8,pmelif
855,0.0,8,melif
856,0.0,9,pmelif
857,0.0,9,melif
858,0.0,10,pmelif
859,0.0,10,melif
860,0.0,1,pmelif
861,0.0,1,melif
862,0.0,2,pmelif
863,0.0,2,melif
864,0.0,3,pmelif
865,0.0,3,melif
866,0.0,4,pmelif
867,0.0,4,melif
868,0.0,5,pmelif
869,0.0,5,melif
870,0.0,6,pmelif
871,0.0,6,melif
872,0.0,7,pmelif
873,0.0,7,melif
874,0.0,8,pmelif
875,0.0,8,melif
876,0.0,9,pmelif
877,0.0,9,melif
878,0.0,10,pmelif
879,0.0,10,melif
880,0.0,1,pmelif
881,0.0,1,melif
882,0.0,2,pmelif
883,0.0,2,melif
884,0.0,3,pmelif
885,0.0,3,melif
886,0.0,4,pmelif
887,0.0,4,melif
888,0.0,5,pmelif
889,0.0,5,melif
890,0.0,6,pmelif
891,0.0,6,melif
892,0.0,7,pmelif
893,0.0,7,melif
894,0.0,8,pmelif
895,0.0,8,melif
896,0.0,9,pmelif
897,0.0,9,melif
898,0.0,10,pmelif
899,0.0,10,melif
900,0.0,1,pmelif
901,0.0,1,melif
902,0.0,2,pmelif
903,0.0,2,melif
904,0.0,3,pmelif
905,0.0,3,melif
906,0.0,4,pmelif
907,0.0,4,melif
908,0.0,5,pmelif
909,0.0,5,melif
910,0.0,6,pmelif
911,0.0,6,melif
912,0.0,7,pmelif
913,0.0,7,melif
914,0.0,8,pmelif
915,0.0,8,melif
916,0.0,9,pmelif
917,0.0,9,melif
918,0.0,10,pmelif
919,0.0,10,melif
920,0.0,1,pmelif
921,0.0,1,melif
922,0.0,2,pmelif
923,0.0,2,melif
924,0.0,3,pmelif
925,0.0,3,melif
926,0.0,4,pmelif
927,0.0,4,melif
928,0.0,5,pmelif
929,0.0,5,melif
930,0.0,6,pmelif
931,0.0,6,melif
932,0.0,7,pmelif
933,0.0,7,melif
934,0.0,8,pmelif
935,0.0,8,melif
936,0.0,9,pmelif
937,0.0,9,melif
938,0.0,10,pmelif
939,0.0,10,melif
940,0.0,1,pmelif
941,0.0,1,melif
942,0.0,2,pmelif
943,0.0,2,melif
944,0.0,3,pmelif
945,0.0,3,melif
946,0.0,4,pmelif
947,0.0,4,melif
948,0.0,5,pmelif
949,0.0,5,melif
950,0.0,6,pmelif
951,0.0,6,melif
952,0.0,7,pmelif
953,0.0,7,melif
954,0.0,8,pmelif
955,0.0,8,melif
956,0.0,9,pmelif
957,0.0,9,melif
958,0.0,10,pmelif
959,0.0,10,melif
960,0.0,1,pmelif
961,0.0,1,melif
962,0.0,2,pmelif
963,0.0,2,melif
964,0.0,3,pmelif
965,0.0,3,melif
966,0.0,4,pmelif
967,0.0,4,melif
968,0.0,5,pmelif
969,0.0,5,melif
970,0.0,6,pmelif
971,0.0,6,melif
972,0.0,7,pmelif
973,0.0,7,melif
974,0.0,8,pmelif
975,0.0,8,melif
976,0.0,9,pmelif
977,0.0,9,melif
978,0.0,10,pmelif
979,0.0,10,melif
980,0.0,1,pmelif
981,0.0,1,melif
982,0.0,2,pmelif
983,0.0,2,melif
984,0.0,3,pmelif
985,0.0,3,melif
986,0.0,4,pmelif
987,0.0,4,melif
988,0.0,5,pmelif
989,0.0,5,melif
990,0.0,6,pmelif
991,0.0,6,melif
992,0.0,7,pmelif
993,0.0,7,melif
994,0.0,8,pmelif
995,0.0,8,melif
996,0.0,9,pmelif
997,0.0,9,melif
998,0.0,10,pmelif
999,0.0,10,melif
1000,0.0,1,pmelif
1001,0.0,1,melif
1002,0.0,2,pmelif
1003,0.0,2,melif
1004,0.0,3,pmelif
1005,0.0,3,melif
1006,0.0,4,pmelif
1007,0.0,4,melif
1008,0.0,5,pmelif
1009,0.0,5,melif
1010,0.0,6,pmelif
1011,0.0,6,melif
1012,0.0,7,pmelif
1013,0.0,7,melif
1014,0.0,8,pmelif
1015,0.0,8,melif
1016,0.0,9,pmelif
1017,0.0,9,melif
1018,0.0,10,pmelif
1019,0.0,10,melif
1020,0.0,1,pmelif
1021,0.0,1,melif
1022,0.0,2,pmelif
1023,0.0,2,melif
1024,0.0,3,pmelif
1025,0.0,3,melif
1026,0.0,4,pmelif
1027,0.0,4,melif
1028,0.0,5,pmelif
1029,0.0,5,melif
